4A

|      :date |  :amount |                                    :from |        :id | :sucursal |
|------------+----------+------------------------------------------+------------+-----------|
| 05/06/2019 |   150.00 |                                          |   81579210 |         1 |
| 09/07/2019 |   150.00 |                                          |   90135366 |        52 |
| 08/08/2019 |   150.00 |                                        1 |   97769041 |        52 |
| 07/09/2019 |   150.00 |                                          |  104452340 |        38 |
| 03/10/2019 |   150.00 |                                          |  112721490 |        44 |
| 14/11/2019 |   150.00 |                                          |  122267762 |        52 |
| 17/12/2019 |   150.00 |                                          |  130793685 |        52 |
| 03/01/2020 |   150.00 |                                          |  134645655 |        52 |
| 05/02/2020 |   150.00 |                                          |  142317086 |        52 |
| 21/02/2020 |   900.00 |                                          |  141177110 |        21 |
| 04/03/2020 |   150.00 |                                          |  148684351 |        52 |
| 26/06/2020 |   150.00 |                                          |  160187688 |        23 |
| 15/01/2021 |   450.00 |                                          |  179035353 |         5 |
| 01/09/2021 |   150.00 |                                          |  208504118 |        30 |
| 09/11/2021 |   150.00 |                                        1 |  226428240 |        27 |
| 02/12/2021 |   150.00 |                                          |  220849650 |        21 |
| 04/01/2022 |   150.00 |                                          |  235240157 |        27 |
| 18/01/2022 | 1,350.00 | IVETTE CRISTINA Cuotas de mantenimiento\ | 1075033698 |         0 |
| 04/03/2022 |   150.00 |                                          |  197381349 |        31 |
| 04/04/2022 |   150.00 |                                          |  237513903 |        43 |
| 04/05/2022 |   150.00 |                                          |  241281237 |        43 |
| 01/06/2022 |   150.00 |                                          |  245070233 |        43 |
| 12/08/2022 |   600.00 | IVETTE CRISTINA BANCA EN LINEA TRANSFERE | 1252625593 |         0 |
| 05/10/2022 |   300.00 | IVETTE CRISTINA BANCA EN LINEA GLOBAL BA | 1300480217 |         0 |
|  01/6/2019 |   -150.0 |                          mant big 2019-6 |            |           |
|  01/7/2019 |   -150.0 |                          mant big 2019-7 |            |           |
|  01/8/2019 |   -150.0 |                          mant big 2019-8 |            |           |
|  01/9/2019 |   -150.0 |                          mant big 2019-9 |            |           |
| 01/10/2019 |   -150.0 |                         mant big 2019-10 |            |           |
| 01/11/2019 |   -150.0 |                         mant big 2019-11 |            |           |
| 01/12/2019 |   -150.0 |                         mant big 2019-12 |            |           |
|  01/1/2020 |   -150.0 |                          mant big 2020-1 |            |           |
|  01/2/2020 |   -150.0 |                          mant big 2020-2 |            |           |
|  01/3/2020 |   -150.0 |                          mant big 2020-3 |            |           |
|  01/4/2020 |   -150.0 |                          mant big 2020-4 |            |           |
|  01/5/2020 |   -150.0 |                          mant big 2020-5 |            |           |
|  01/6/2020 |   -150.0 |                          mant big 2020-6 |            |           |
|  01/7/2020 |   -150.0 |                          mant big 2020-7 |            |           |
|  01/8/2020 |   -150.0 |                          mant big 2020-8 |            |           |
|  01/9/2020 |   -150.0 |                          mant big 2020-9 |            |           |
| 01/10/2020 |   -150.0 |                         mant big 2020-10 |            |           |
| 01/11/2020 |   -150.0 |                         mant big 2020-11 |            |           |
| 01/12/2020 |   -150.0 |                         mant big 2020-12 |            |           |
|  01/1/2021 |   -150.0 |                          mant big 2021-1 |            |           |
|  01/2/2021 |   -150.0 |                          mant big 2021-2 |            |           |
|  01/3/2021 |   -150.0 |                          mant big 2021-3 |            |           |
|  01/4/2021 |   -150.0 |                          mant big 2021-4 |            |           |
|  01/5/2021 |   -150.0 |                          mant big 2021-5 |            |           |
|  01/6/2021 |   -150.0 |                          mant big 2021-6 |            |           |
|  01/7/2021 |   -150.0 |                          mant big 2021-7 |            |           |
|  01/8/2021 |   -150.0 |                          mant big 2021-8 |            |           |
|  01/9/2021 |   -150.0 |                          mant big 2021-9 |            |           |
| 01/10/2021 |   -150.0 |                         mant big 2021-10 |            |           |
| 01/11/2021 |   -150.0 |                         mant big 2021-11 |            |           |
| 01/12/2021 |   -150.0 |                         mant big 2021-12 |            |           |
|  01/1/2022 |   -150.0 |                          mant big 2022-1 |            |           |
|  01/2/2022 |   -150.0 |                          mant big 2022-2 |            |           |
|  01/3/2022 |   -150.0 |                          mant big 2022-3 |            |           |
|  01/4/2022 |   -150.0 |                          mant big 2022-4 |            |           |
|  01/5/2022 |   -150.0 |                          mant big 2022-5 |            |           |
|  01/6/2022 |   -150.0 |                          mant big 2022-6 |            |           |
|  01/7/2022 |   -150.0 |                          mant big 2022-7 |            |           |
|  01/8/2022 |   -150.0 |                          mant big 2022-8 |            |           |
|  01/9/2022 |   -150.0 |                          mant big 2022-9 |            |           |
| 01/10/2022 |   -150.0 |                         mant big 2022-10 |            |           |
| 01/11/2022 |   -150.0 |                         mant big 2022-11 |            |           |
| 01/12/2022 |   -150.0 |                         mant big 2022-12 |            |           |


 quotas: -6450
 paid: 6450
 balance: 0
