
|      :date |  :amount |                                    :from |        :id | :sucursal |
|------------+----------+------------------------------------------+------------+-----------|
| 05/06/2019 |   150.00 |                                          |   81579210 |         1 |
| 09/07/2019 |   150.00 |                                          |   90135366 |        52 |
| 08/08/2019 |   150.00 |                                        1 |   97769041 |        52 |
| 07/09/2019 |   150.00 |                                          |  104452340 |        38 |
| 03/10/2019 |   150.00 |                                          |  112721490 |        44 |
| 14/11/2019 |   150.00 |                                          |  122267762 |        52 |
| 17/12/2019 |   150.00 |                                          |  130793685 |        52 |
| 03/01/2020 |   150.00 |                                          |  134645655 |        52 |
| 05/02/2020 |   150.00 |                                          |  142317086 |        52 |
| 04/03/2020 |   150.00 |                                          |  148684351 |        52 |
| 26/06/2020 |   150.00 |                                          |  160187688 |        23 |
| 01/09/2021 |   150.00 |                                          |  208504118 |        30 |
| 09/11/2021 |   150.00 |                                        1 |  226428240 |        27 |
| 02/12/2021 |   150.00 |                                          |  220849650 |        21 |
| 18/01/2022 | 1,350.00 | IVETTE CRISTINA Cuotas de mantenimiento\ | 1075033698 |         0 |
| 12/08/2022 |   600.00 | IVETTE CRISTINA BANCA EN LINEA TRANSFERE | 1252625593 |         0 |
| 05/10/2022 |   300.00 | IVETTE CRISTINA BANCA EN LINEA GLOBAL BA | 1300480217 |         0 |
