5A

|      :date | :amount | :from |       :id | :sucursal |
|------------+---------+-------+-----------+-----------|
| 17/07/2019 |  150.00 |       |  92241837 |        52 |
| 17/07/2019 |  150.00 |       |  92241948 |        52 |
| 31/07/2019 |  150.00 |       |  95649693 |        52 |
| 30/08/2019 |  660.00 |       | 103579188 |        52 |
| 02/10/2019 |  660.00 |       | 112267932 |        44 |
| 15/10/2019 |  600.00 |       | 115646343 |        52 |
| 08/11/2019 |  160.00 |       | 121216030 |        52 |
| 15/11/2019 |  150.00 |       | 122586286 |        52 |
| 18/11/2019 |  150.00 |       | 123473982 |        95 |
| 03/12/2019 |  150.00 |       | 127324753 |        52 |
| 03/01/2020 |  150.00 |       | 134845309 |        52 |
| 04/02/2020 |  150.00 |       | 142010518 |        52 |
| 02/03/2020 |  150.00 |       | 148074349 |        52 |
| 05/03/2020 |  150.00 |       | 148961601 |        52 |
| 02/04/2020 |  210.00 |       | 148255085 |        30 |
| 29/04/2020 |  260.00 |       | 132170836 |         9 |
| 10/06/2020 |  186.18 |       | 233468801 |        91 |
| 24/06/2020 |  210.00 |       | 155759085 |        30 |
| 10/08/2020 |  210.00 |       | 160340446 |        30 |
| 09/10/2020 |  210.00 |       | 171373231 |         1 |
| 15/12/2020 |  210.00 |       | 175341736 |        30 |
| 28/01/2021 |  130.00 |       | 155537325 |         9 |
| 03/02/2021 |  210.00 |       | 181240796 |        30 |
| 08/09/2021 |  150.00 |       | 209580287 |        30 |
| 29/09/2021 |  150.00 |       | 181321477 |        39 |
| 27/01/2022 |  150.00 |       | 228414286 |        30 |
| 05/07/2022 |  150.00 |       | 264283235 |        27 |
| 04/08/2022 |  150.00 |       | 253238276 |        43 |
